,accgdln,age,altdum,amttotal,casetype,citwhere,combdrg2,crimhist,disposit,district,drugmin,dsplea,educatn,intdum,methmin,monrace,monsex,mweight,newcit,newcnvtn,neweduc,newrace,nodrug,numdepen,offguide,prisdum,probatn,probdum,quarter,reas1,reas2,reas3,regsxmin,relmin,restdet1,restdum,safe,safety,senspcap,sensplt0,sentimp,smax1,smin1,sources,statmax,statmin,supermax,supermin,suprdum,suprel,timservc,totchpts,totrest,totunit,typemony,typeoths,unit1,mwgt1,wgt1,xcrhissr,xfolsor,xmaxsor,xminsor,sentrnge,no_of_misclass
3947,2.0,46.0,0,0,1.0,49.0,6.0,1.0,3,74,120,8,10.0,0,0,1,0.0,51905560.0,1.0,1,1.0,3.0,2.0,1.5311047437121936,10,1,0,0,1,1205.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,240.0,240.0,1,9996.0,120.0,1,9996.0,120.0,996.0,60.0,1,996,0.0,0.0,0.0,1.0,1.0,0,1.0,48730000.0,2436.5,1.0,43.0,9996.0,9996.0,8.0,1
3949,1.0,49.0,0,0,1.0,49.0,3.0,1.0,1,79,0,1,4.0,0,0,1,0.0,64756246.960035145,1.0,0,1.0,3.0,1.0,1.5311047437121936,10,1,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,57.0,57.0,1,240.0,0.0,1,240.0,0.0,36.0,36.0,1,36,0.0,12.0,0.0,1.0,1.0,0,1.0,63560994.99244218,85104.43331456716,5.0,19.0,71.0,57.0,0.0,1
3966,1.0,30.0,0,0,1.0,211.0,1.0,0.0,1,1,120,1,12.0,0,0,1,0.0,64756246.960035145,0.0,0,3.0,3.0,1.0,0.0,10,1,0,0,1,2.0,3.0,1206.0,0,0,0.0,0.0,1.0,1.0,34.0,34.0,1,9996.0,120.0,1,9996.0,120.0,60.0,24.0,1,36,0.0,0.0,0.0,1.0,1.0,0,1.0,63560994.99244218,85104.43331456716,1.0,29.0,108.0,87.0,8.0,1
3972,1.0,34.0,0,0,1.0,211.0,77.0,1.0,1,2,120,1,23.0,0,0,2,1.0,18200000.0,0.0,0,5.0,3.0,1.0,2.0,10,1,0,0,1,19.0,14.0,15.0,0,0,0.0,0.0,1.0,1.0,60.0,60.0,1,9996.0,120.0,1,9996.0,120.0,36.0,24.0,1,24,0.0,0.0,0.0,1.0,1.0,0,2.0,18200000.0,7280.0,1.0,29.0,108.0,87.0,2.0,1
3976,1.0,28.0,0,0,1.0,211.0,6.0,1.0,1,49,60,1,12.0,0,0,1,0.0,64756246.960035145,0.0,0,3.0,1.0,1.0,1.0,10,1,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,60.0,60.0,1,480.0,60.0,1,480.0,60.0,60.0,48.0,1,48,0.0,3.0,0.0,1.0,1.0,0,1.0,63560994.99244218,85104.43331456716,2.0,23.0,63.0,51.0,0.0,1
3986,2.0,32.0,0,0,1.0,211.0,6.0,1.0,1,42,0,1,12.0,0,0,1,0.0,55909.0,0.0,0,3.0,3.0,3.0,0.0,10,0,36,1,1,1206.0,60.0,61.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,240.0,0.0,1,240.0,0.0,36.0,34.99150401836969,0,0,0.0,2.0,0.0,1.0,1.0,0,1.0,55160.0,27.58,2.0,15.0,27.0,21.0,8.0,1
3990,1.0,33.0,0,10000,1.0,211.0,6.0,1.0,1,19,120,1,12.0,0,0,1,0.0,2008000.0,0.0,0,3.0,1.0,1.0,0.0,10,1,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,160.0,160.0,1,9996.0,120.0,1,9996.0,120.0,60.0,34.99150401836969,1,60,0.0,12.0,0.0,1.0,3.0,0,1.0,2008000.0,1004.0,5.0,29.0,175.0,140.0,0.0,1
3998,2.0,35.0,0,5000,1.0,211.0,1.0,1.0,1,38,0,1,12.0,0,0,1,0.0,80000.0,0.0,0,3.0,3.0,1.0,3.0,10,1,0,0,1,875.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,37.0,37.0,1,240.0,0.0,1,240.0,0.0,36.0,34.99150401836969,1,60,0.0,3.0,0.0,1.0,3.0,0,1.0,80000.0,400.0,2.0,21.0,51.0,41.0,8.0,1
4003,1.0,20.0,0,250,2.0,211.0,4.0,1.0,1,42,0,1,12.0,0,0,1,0.0,64756246.960035145,0.0,0,3.0,3.0,1.0,1.5311047437121936,9,0,12,1,1,19.0,3.0,4.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,4,12.0,0.0,1,12.0,0.0,12.0,0.0,0,0,0.0,0.0,0.0,1.0,3.0,0,1.0,63560994.99244218,85104.43331456716,1.0,2.0,6.0,0.0,0.0,1
4011,1.0,34.0,0,0,1.0,211.0,6.0,1.0,1,19,60,1,9.0,0,0,1,1.0,849600.0,0.0,0,1.0,1.0,2.0,0.0,10,1,0,0,1,2.0,3.0,4.0,0,0,0.0,0.0,2.0,1.0,70.0,70.0,1,480.0,60.0,1,480.0,60.0,60.0,24.0,1,48,0.0,4.0,0.0,1.0,1.0,0,1.0,841600.0,42.08,3.0,27.0,108.0,87.0,8.0,1
4012,1.0,42.0,0,0,1.0,28.0,1.0,1.0,1,31,120,5,12.0,0,0,2,0.0,275400000.0,1.0,0,3.0,3.0,1.0,0.0,10,1,0,0,1,3.0,1206.0,60.0,0,0,0.0,0.0,0.0,0.0,210.0,210.0,1,9996.0,120.0,1,9996.0,120.0,996.0,60.0,1,60,0.0,5.0,0.0,1.0,1.0,0,2.0,275400000.0,1377000.0,3.0,37.0,327.0,262.0,8.0,1
4013,1.0,31.0,0,0,1.0,211.0,77.0,1.0,1,17,0,1,9.0,0,0,2,0.0,17120.0,0.0,0,1.0,2.0,3.0,3.0,10,1,0,0,1,23.0,45.0,2.0,0,0,0.0,0.0,0.0,0.0,120.0,120.0,1,240.0,0.0,1,240.0,0.0,36.0,36.0,1,36,0.0,7.0,0.0,1.0,1.0,0,1.0,8750.0,3.5,4.0,12.0,27.0,21.0,1.0,1
4014,1.0,60.0,0,0,1.0,211.0,6.0,1.0,1,75,12,1,32.0,0,0,4,1.0,54849.61,0.0,0,1.0,3.0,2.0,0.0,10,1,0,0,1,60.0,703.0,875.0,0,0,0.0,0.0,2.0,1.0,18.0,18.0,1,480.0,12.0,1,480.0,12.0,72.0,34.99150401836969,1,72,0.0,3.0,0.0,1.0,1.0,0,1.0,51600.0,2.58,2.0,16.0,30.0,24.0,8.0,1
4016,1.0,32.0,0,0,1.0,30.0,77.0,1.0,1,2,120,1,12.0,0,0,2,0.0,1371600.0,1.0,0,3.0,3.0,1.0,2.0,10,1,0,0,1,12.0,652.0,1200.0,0,0,0.0,0.0,1.0,1.0,52.0,52.0,1,9996.0,120.0,1,9996.0,120.0,60.0,24.0,0,0,0.0,0.0,0.0,1.0,1.0,0,1.0,1371600.0,548.64,1.0,25.0,71.0,57.0,8.0,1
4020,2.0,19.0,0,0,1.0,211.0,77.0,0.0,1,22,120,1,12.0,0,0,1,0.0,31475670.0,0.0,0,3.0,3.0,3.0,0.0,10,1,0,0,1,1.0,5.0,692.0,0,0,0.0,0.0,1.0,1.0,36.0,36.0,1,9996.0,120.0,1,9996.0,120.0,137.440206185567,60.0,1,60,0.0,0.0,0.0,1.0,1.0,0,1.0,21278250.0,8511.3,1.0,23.0,57.0,46.0,8.0,1
4027,1.0,44.0,0,0,1.0,211.0,2.0,1.0,1,2,0,1,24.0,0,0,2,0.0,64756246.960035145,0.0,0,6.0,2.0,1.0,2.0,10,1,0,0,1,500.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,27.0,27.0,1,240.0,0.0,1,240.0,0.0,996.0,36.0,1,36,0.0,5.0,0.0,1.0,1.0,0,1.0,63560994.99244218,85104.43331456716,3.0,21.0,57.0,46.0,7.0,1
4035,2.0,31.0,0,0,1.0,211.0,6.0,1.0,1,18,0,1,34.0,0,0,1,1.0,4518373.0,0.0,0,5.0,1.0,10.0,1.0,10,1,0,0,1,2.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,72.0,72.0,1,240.0,0.0,1,240.0,0.0,36.0,34.99150401836969,1,36,0.0,4.0,0.0,1.0,1.0,0,1.0,3917800.0,195.89,3.0,29.0,135.0,108.0,7.0,1
4040,1.0,44.0,0,0,1.0,211.0,6.0,1.0,3,74,120,8,16.0,0,0,1,0.0,4942600.0,0.0,1,6.0,1.0,1.0,0.0,10,1,0,0,1,61.0,676.0,826.0,0,0,0.0,0.0,0.0,0.0,135.0,135.0,1,9996.0,120.0,1,9996.0,120.0,137.440206185567,60.0,1,60,0.0,5.0,0.0,1.0,1.0,0,1.0,4942600.0,247.13,3.0,34.0,235.0,188.0,8.0,1
